"Your Song",8
"Tiny Dancer",3
"Honky Cat",12
"Rocket Man (I Think It’s Going to Be a Long, Long Time)",20
"Crocodile Rock",24
"Daniel",28
"Saturday Night's Alright (For Fighting)",32
"Goodbye Yellow Brick Road",38
"Candle in the Wind",42
"Bennie and the Jets",46
"Don't Let the Sun Go Down on Me",50
"The Bitch is Back",62
"Philadelphia Freedom",66
"Someone Saved My Life Tonight",7
"Island girl",76
"Don't Go Breaking My Heart",57
"Sorry Seems to Be the Hardest Word",84
"Blue Eyes",88
"I'm Still Standing",90
"I Guess That's Why They Call It the Blues",94
"Sad Songs (Say So Much)",98
"Nikita",103
"Sacrifice",108
"The One",112
"Kiss the Bride",122
"Can You Feel the Love Tonight?",128
"Circle of Life",117
"Believe",132
"Made in England",136
"Something About the Way You Look Tonight",142
"Written in the Stars",146
"I Want Love",151
"This Train Don't Stop There Anymore",156
"Song For Guy",162
