"Actual Proof",11
"Aerie, The",13
"Ain't That Peculiar",15
"Aja's Theme",19
"Almost Like Being In Love",20
"American Gothic",21
"And It All Goes Round",23
"Another Star",25
"Another Time",27
"Appointment In Ghana",29
"Arietas",32
"Autumn Serenade",35
"B-Sting",37
"Baby Come To Me",41
"Backstage Sally",43
"Ballad For Doll, A",45
"Ballad For Two Musicians",46
"Bird Of Beauty",50
"Black Nile",52
"Blue Moon",53
"Blue Spirits",55
"Blue Tuesday",59
"Body And Soul",60
"Brothers Of The Bottom Row",62
"Bud's Delight",63
"Bud Powell",67
"Butterfly",69
"Can't Stop The Wind",71
"Caravan",77
"Ceora",79
"Chairs And Children",80
"Chick's Tune",82
"Circular Motion",84
"Cirrus",87
"Close Your Eyes",91
"Cool Green",92
"Creepin'",93
"D Minor Mint",95
"Cynthia",96
"Daddy's Girl Cynthia",96
"Dancing In The Street",98
"Darius Dance",100
"Day Dream",102
"Dexter",103
"Dienda",104
"Divertamento",105
"Dolphin Dance",107
"Don't Ask Why",108
"Don't Be That Way",109
"Don't Blame Me",110
"Double Up, The",111
"Dreamin",112
"El Gaucho",114
"Emily",115
"Everything I Have Is Yours",116
"Fall With Me",117
"For All We Know",119
"Freedomland",120
"From Day To Day",122
"Gentle Rain, The",124
"Get Ready",125
"Ghost Of A Chance, A",127
"Grand Central",128
"Gush",130
"Hard Eights",134
"Heat Wave",136
"Herzog",138
"Hold On I'm Coming",140
"How Sweet It Is",141
"I Can't Help It",143
"I Fall In Love Too Easily",145
"I Got It Bad",146
"I Hear A Rhapsody",148
"I Heard It Through The Grapevine",149
"I Wanted To Say",153
"I'm Getting Sentimental Over You",154
"I'm Losing You",155
"I'm Through With Love",157
"If You Could See Me Now",159
"In A Mellow Tone",161
"In A Sentimental Mood",162
"In Case You Missed It",164
"In Love With Night",167
"Inner Urge",168
"Invitation",170
"Isoar",172
"Isotope",174
"It Always Is",175
"Jean De Fleur",179
"Jitterbug Waltz, The",181
"John's Waltz",182
"Just Friends",183
"Just Squeeze Me",184
"Just You Just Me",185
"Kahlil The Prophet",186
"Knock On Wood",188
"Lamp Is Low, The",190
"Last Nite",191
"Last Season",195
"Aura",199
"Lets Stay Together",200
"Litha",202
"Lonely Woman",204
"Look At The Birdie",206
"Love Letter",208
"Love's Haunts",209
"Lullaby In Rhythm",213
"Maiden Voyage",214
"Mamacita",216
"Man Facing. North",220
"Metamorphosis",224
"Midnight Silence",227
"Monk On The Run",229
"Moon And Sand",233
"Moonglow",235
"Moonlight Serenade",236
"My Girl",237
"Never Said (Chan's Song)",239
"New Boots",241
"Next Future",243
"No Way Out",245
"Nowhere To Run",249
"Off Flow",251
"On Green Dolphin Street",255
"One Bird One Stone",257
"One Finger Snap",261
"Ooo Baby Baby",262
"Opus De Funk",264
"Out A Day",266
"Over The Rainbow",267
"Part-Time Lover",269
"Pendulum",273
"Prelude To A Kiss",274
"Promise",275
"Punjab",277
"Pyramid",279
"Question Mark",281
"Rainland",282
"Reach Out, I'll Be There",287
"Real Life",289
"Red's Blues",291
"Relentless",292
"Respect",294
"Revelation",296
"Riddles",300
"Ritual",302
"Ruby",304
"Sail Away",306
"Second Time Around, The",308
"Serenata",309
"Shadow Of Your Smile, The",311
"Short Story",312
"Since We Met",314
"Smile Please",316
"So Near So Far",317
"Solitude",319
"Speak Like A Child",320
"Spring Is Here",322
"Stairway To The Stars",323
"Star Eyes",324
"Stars Fell On Alabama",326
"Steepian Faith",327
"Step Lightly",329
"Stompin' At The Savoy",331
"Street Of Dreams",332
"Sub Aqua",333
"Sugar",337
"Super Blue",338
"Sweet Lorraine",340
"Sweet Love",342
"Taking A Chance On Love",344
"That Girl",345
"That Old Feeling (Standard Version)",349
"That Old Feeling",350
"There's A Lull In My Life",352
"34 Skidoo",354
"This Is New",355
"Tiny Capers",356
"Tokyo Dream",358
"Too High",362
"Toy Tune",366
"Tracks Of My Tears, The",367
"Tuzz's Shadow",369
"Used To Be A Cha-Cha",371
"Walk Of The Negress",373
"Warm Valley",374
"Wee",375
"What Are You Doing The Rest Of Your Life",376
"What's Going On?",378
"What's Love Got To Do With It",380
"When I Look In Your Eyes",382
"When Lights Are Low",384
"Where Are You?",386
"You Are So Beautiful",387
"You Must Believe In Spring",388
"You Stepped Out Of A Dream",390
"You've Changed",391
