18,"a Veces Tu, a Veces Yo"
8,"Abraham, Martin and John"
8,"Abrazame"
9,"Acapoulco Polka"
11,"Ace in the Hole"
10,"Across the Alley From the Alamo"
416,"Adeste Fidelis"
11,"Adios, Au Revoir, Auf Wiedersehn"
12,"Adios Muchachos"
10,"After the Ball"
12,"After the Lights Go Down Low"
629,"Ah, the Apple Trees (when the World Was Young)"
15,"Ain't Misbehavin'"
14,"Air Mail Special"
17,"Alabamy Bound"
16,"Algo Mas"
19,"All at Once You Love Her"
18,"All I Have to Do Is Dream"
19,"All My Trials"
17,"All of Me"
20,"All of You"
20,"All Shook Up"
23,"All the Things You Are"
22,"Allegheny Moon"
22,"Alley Cat Song"
24,"Allez-vous-en, Go Away"
24,"Almost Persuaded"
9,"Aloha Oe"
16,"Alouette"
565,"Always Something There to Remind Me, (there's)"
13,"Always True to You in My Fashion"
26,"Amazing Grace"
27,"Amen"
28,"America"
29,"America the Beautiful"
30,"American Patrol 31..amung My Squvenirs"
32,"An Everlasting Love"
25,"Andante Cantabile"
23,"Angel Eyes"
26,"Anna"
28,"Annabelle"
21,"Anniversary Song"
33,"Anniversary Waltz, The"
14,"Another Op'nin', Another Show"
30,"Answer Me, My Love"
34,"Any Time"
31,"Anyone Can Move a Mountain"
29,"Apache"
33,"Apples and Bananas"
35,"April in Portugal"
36,"Are You Having Any Fun"
37,"Are You Lonesome Tonight?"
38,"Aren't You Glad You're You"
41,"Arrivederci, Roma"
42,"Artist's Life"
44,"Artza Alinu"
37,"As Long As He Needs Me"
43,"As Tears Go By"
36,"at Beneficial (doot! Doot!) You're Good For More (beneficial Finance)"
38,"at Christmastime"
39,"at My Front Door"
40,"Auld Lang Syne"
35,"Au Privave"
34,"Ave Maria (bach/gounod)"
40,"Ave Maria (schubert) Bs"
44,"Babes in Arms"
45,"Baby (you've Got What It Takes)"
283,"Back Home Again in Indiana"
48,"Back in the U.s.a. 46..back in Your Own Backyard"
47,"Bali Ha'!"
50,"Ballerina"
49,"Band of Gold"
51,"Band Played On, The"
42,"Bark For Barksdale"
41,"Battle Hymn of the Republic"
50,"Be a Clown"
47,"Beautiful Friendship, A"
578,"Beautiful Girls Walk a Little Slower (this Is All I Ask)"
53,"Beautiful Ohio"
49,"Because"
54,"Because They're Young"
52,"Beer Barrel Polka"
46,"Bell Bottom Trousers"
55,"Bells of Rhymney, The"
53,"Bells of St. Mary's, The"
56,"Bernie's Tune"
56,"Best Things in Life Are Free, The"
